Comunidades y Ciudades Autónomas;Tamaño de los municipios;Periodo;Total
Total;Total;2020;47.450.795
Total;Total;2019;47.026.208
Total;Total;2018;46.722.980
01 Andalucía;Total;2020;8.464.411
01 Andalucía;Total;2019;8.414.240
01 Andalucía;Total;2018;8.384.408
02 Aragón;Total;2020;1.329.391
02 Aragón;Total;2019;1.319.291
02 Aragón;Total;2018;1.308.728
03 Asturias, Principado de;Total;2020;1.018.784
03 Asturias, Principado de;Total;2019;1.022.800
03 Asturias, Principado de;Total;2018;1.028.244
04 Balears, Illes;Total;2020;1.171.543
04 Balears, Illes;Total;2019;1.149.460
04 Balears, Illes;Total;2018;1.128.908
05 Canarias;Total;2020;2.175.952
05 Canarias;Total;2019;2.153.389
05 Canarias;Total;2018;2.127.685
06 Cantabria;Total;2020;582.905
06 Cantabria;Total;2019;581.078
06 Cantabria;Total;2018;580.229
07 Castilla y León;Total;2020;2.394.918
07 Castilla y León;Total;2019;2.399.548
07 Castilla y León;Total;2018;2.409.164
08 Castilla - La Mancha;Total;2020;2.045.221
08 Castilla - La Mancha;Total;2019;2.032.863
08 Castilla - La Mancha;Total;2018;2.026.807
09 Cataluña;Total;2020;7.780.479
09 Cataluña;Total;2019;7.675.217
09 Cataluña;Total;2018;7.600.065
10 Comunitat Valenciana;Total;2020;5.057.353
10 Comunitat Valenciana;Total;2019;5.003.769
10 Comunitat Valenciana;Total;2018;4.963.703
11 Extremadura;Total;2020;1.063.987
11 Extremadura;Total;2019;1.067.710
11 Extremadura;Total;2018;1.072.863
12 Galicia;Total;2020;2.701.819
12 Galicia;Total;2019;2.699.499
12 Galicia;Total;2018;2.701.743
13 Madrid, Comunidad de;Total;2020;6.779.888
13 Madrid, Comunidad de;Total;2019;6.663.394
13 Madrid, Comunidad de;Total;2018;6.578.079
14 Murcia, Región de;Total;2020;1.511.251
14 Murcia, Región de;Total;2019;1.493.898
14 Murcia, Región de;Total;2018;1.478.509
15 Navarra, Comunidad Foral de;Total;2020;661.197
15 Navarra, Comunidad Foral de;Total;2019;654.214
15 Navarra, Comunidad Foral de;Total;2018;647.554
16 País Vasco;Total;2020;2.220.504
16 País Vasco;Total;2019;2.207.776
16 País Vasco;Total;2018;2.199.088
17 Rioja, La;Total;2020;319.914
17 Rioja, La;Total;2019;316.798
17 Rioja, La;Total;2018;315.675
18 Ceuta;Total;2020;84.202
18 Ceuta;Total;2019;84.777
18 Ceuta;Total;2018;85.144
19 Melilla;Total;2020;87.076
19 Melilla;Total;2019;86.487
19 Melilla;Total;2018;86.384
